Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
1 2000.00 1400.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
2 2000.00 1397.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
3 2000.00 1394.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
4 2000.00 1391.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
5 2000.00 1388.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
6 2000.00 1385.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
7 2000.00 1382.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
8 2000.00 1379.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
9 2000.00 1376.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
10 2000.00 1373.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
11 2000.00 1370.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
12 2000.00 1367.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
13 2000.00 1364.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
14 2000.00 1361.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
15 2000.00 1358.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
16 2000.00 1355.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
17 2000.00 1352.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
18 2000.00 1349.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
19 2000.00 1346.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
20 2000.00 1343.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
21 2000.00 1340.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
22 2000.00 1337.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
23 2000.00 1334.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
24 2000.00 1331.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
25 2000.00 1328.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
26 2000.00 1325.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
27 2000.00 1322.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
28 2000.00 1319.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
